what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108794700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108808615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467108813420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1467108863169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108869611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108880063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467108889673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108911934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108914368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108931606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1467108935350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467108946098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1467108958079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108962464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108962479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108962604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108962872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108964136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108988965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467108990551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109047944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1467109052250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467109065868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1467109101826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109102872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109110219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109128659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109128659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109128753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109129000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109129708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109153408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109155545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109198663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467109213592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1467109229380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109233827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109233842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109233936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109234183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109234901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109285966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109351819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109395764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109396809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109475699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109496931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109584073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467109589127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1467109590953
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1467109594587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109598379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109598395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109598504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109598747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109599638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109631119
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1467109632244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467109645251
