what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468062534985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468062542722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468062561349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468062667507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468062669473
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468062711031
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468062743136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468062762215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468062765070
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1468062785599
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1468062794616
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468062833164
activated,editor,,,"org.eclipse.ui.systemInPlaceEditor",1468062851182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468062865627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468062878076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468062878388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1468062883817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468062887483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468062895377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468062908746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468062969945
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468062980334
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468063066681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063141436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063148440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063157644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063175771
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1468063336483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063342037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063343612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468063350804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063412471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063413532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063426651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468063489301
