what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1468571283028
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1468571283028
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1468571283059
os,sysinfo,,,"win32",1468571283059
arch,sysinfo,,,"x86_64",1468571283059
ws,sysinfo,,,"win32",1468571283059
locale,sysinfo,,,"en_US",1468571283059
processors,sysinfo,,,"2",1468571283059
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1468571283059
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1468571283059
java.specification.name,sysinfo,,,"Java Platform API Specification",1468571283059
java.specification.vendor,sysinfo,,,"Oracle Corporation",1468571283059
java.specification.version,sysinfo,,,"1.7",1468571283059
java.vendor,sysinfo,,,"Oracle Corporation",1468571283059
java.version,sysinfo,,,"1.7.0_79",1468571283059
java.vm.info,sysinfo,,,"mixed mode",1468571283059
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468571283059
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468571283059
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468571283059
java.vm.specification.version,sysinfo,,,"1.7",1468571283059
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468571283059
java.vm.version,sysinfo,,,"24.79-b02",1468571283059
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1468571283137
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1468571284011
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1468571284291
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1468571284323
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468571287645
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468571308815
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1468571308893
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1468571310687
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1468571310811
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1468571311607
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1468571311732
executed,command,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.shortcut.run",1468571313354
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1468571315725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468571323169
