what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1468231833951
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468231833951
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468231833951
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468231833951
java.vm.specification.version,sysinfo,,,"1.7",1468231833951
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468231833951
java.vm.version,sysinfo,,,"24.79-b02",1468231833951
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468232107654
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1468232110321
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1468232110337
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1468232110352
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1468232110352
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1468232110384
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1468232110399
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1468232110555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468232111803
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1468232118324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468232122442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1468232122489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468232133862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468232168400
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468232168712
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468232168806
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468232709066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468232716725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468232810825
