what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230066136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230067173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230077200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230081749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230083641
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468230093644
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468230100095
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468230103227
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468230105003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230111534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230204626
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468230204643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230209757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230245159
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468230249808
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1468230254675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1468230254722
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468230269760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230271710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468230273504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468230278418
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468230281803
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1468230301740
